date,target_name,model_name,actual_value,predicted_value,data_split,is_best_model
2015-09-25,converted_visitor_count,Rolling Average Baseline,,47.90550098780512,future,False
2015-09-26,converted_visitor_count,Rolling Average Baseline,,53.60628684320585,future,False
2015-09-27,converted_visitor_count,Rolling Average Baseline,,52.652082922847505,future,False
2015-09-28,converted_visitor_count,Rolling Average Baseline,,51.69859039579074,future,False
2015-09-29,converted_visitor_count,Rolling Average Baseline,,50.663445250333105,future,False
2015-09-30,converted_visitor_count,Rolling Average Baseline,,50.19583842258572,future,False
2015-10-01,converted_visitor_count,Rolling Average Baseline,,50.377008312413935,future,False
2015-10-02,converted_visitor_count,Rolling Average Baseline,,51.01410759071171,future,False
2015-09-19,converted_visitor_count,ARIMA,,47.37917229122435,future,False
2015-09-20,converted_visitor_count,ARIMA,,68.54010415745083,future,False
2015-09-21,converted_visitor_count,ARIMA,,79.91121765205489,future,False
2015-09-22,converted_visitor_count,ARIMA,,86.02163958075724,future,False
2015-09-23,converted_visitor_count,ARIMA,,89.30515760777229,future,False
2015-09-24,converted_visitor_count,ARIMA,,91.0696005152398,future,False
2015-09-25,converted_visitor_count,ARIMA,,92.01774782190849,future,False
2015-09-26,converted_visitor_count,ARIMA,,92.52724762569267,future,False
2015-09-27,converted_visitor_count,ARIMA,,92.80103424959627,future,False
2015-09-28,converted_visitor_count,ARIMA,,92.94815720209164,future,False
2015-09-29,converted_visitor_count,ARIMA,,93.02721571430943,future,False
2015-09-30,converted_visitor_count,ARIMA,,93.06969887718837,future,False
2015-10-01,converted_visitor_count,ARIMA,,93.09252778045975,future,False
2015-10-02,converted_visitor_count,ARIMA,,93.10479520099194,future,False
2015-09-19,converted_visitor_count,Prophet,,47.07157973132308,future,True
2015-09-20,converted_visitor_count,Prophet,,53.09929681297071,future,True
2015-09-21,converted_visitor_count,Prophet,,103.85207395884144,future,True
2015-09-22,converted_visitor_count,Prophet,,107.69226740508101,future,True
2015-09-23,converted_visitor_count,Prophet,,106.63114142173163,future,True
2015-09-24,converted_visitor_count,Prophet,,93.36780115374098,future,True
2015-09-25,converted_visitor_count,Prophet,,73.15256213395102,future,True
2015-09-26,converted_visitor_count,Prophet,,45.938723511542534,future,True
2015-09-27,converted_visitor_count,Prophet,,51.96644059320862,future,True
2015-09-28,converted_visitor_count,Prophet,,102.71921773899194,future,True
2015-09-29,converted_visitor_count,Prophet,,106.55941118527308,future,True
2015-09-30,converted_visitor_count,Prophet,,105.49828520193644,future,True
2015-10-01,converted_visitor_count,Prophet,,92.23494493393424,future,True
2015-10-02,converted_visitor_count,Prophet,,72.01970591411109,future,True
2015-09-19,converted_visitor_count,XGBoost Time-Series,,10.397981643676758,future,False
2015-09-20,converted_visitor_count,XGBoost Time-Series,,23.734222412109375,future,False
2015-09-21,converted_visitor_count,XGBoost Time-Series,,24.5351619720459,future,False
2015-09-22,converted_visitor_count,XGBoost Time-Series,,58.60293960571289,future,False
2015-09-23,converted_visitor_count,XGBoost Time-Series,,58.749725341796875,future,False
2015-09-24,converted_visitor_count,XGBoost Time-Series,,80.35164642333984,future,False
2015-09-25,converted_visitor_count,XGBoost Time-Series,,54.3089714050293,future,False
2015-09-26,converted_visitor_count,XGBoost Time-Series,,36.581172943115234,future,False
2015-09-27,converted_visitor_count,XGBoost Time-Series,,38.64744186401367,future,False
2015-09-28,converted_visitor_count,XGBoost Time-Series,,24.71312713623047,future,False
2015-09-29,converted_visitor_count,XGBoost Time-Series,,68.13970947265625,future,False
2015-09-30,converted_visitor_count,XGBoost Time-Series,,67.24779510498047,future,False
