model_name,threshold,precision,recall,f1_score,predicted_positive_rate
Tuned XGBoost,0.95,0.0958904109589041,0.17587939698492464,0.12411347517730496,0.002575755437313875
Tuned XGBoost,0.97,0.13303769401330376,0.1507537688442211,0.1413427561837456,0.0015913228797651475
Tuned XGBoost,0.98,0.17543859649122806,0.12562814070351758,0.14641288433382138,0.0010056031501841842
Tuned XGBoost,0.99,0.25806451612903225,0.08040201005025126,0.12260536398467432,0.00043752558113276785
SMOTE Logistic Regression Sample,0.05,0.0014043159781519485,1.0,0.0028046932807159718,1.0
SMOTE Logistic Regression Sample,0.1,0.0014043159781519485,1.0,0.0028046932807159718,1.0
SMOTE Logistic Regression Sample,0.15,0.0014043159781519485,1.0,0.0028046932807159718,1.0
SMOTE Logistic Regression Sample,0.2,0.0014043159781519485,1.0,0.0028046932807159718,1.0
SMOTE Logistic Regression Sample,0.25,0.0014043159781519485,1.0,0.0028046932807159718,1.0
SMOTE Logistic Regression Sample,0.3,0.0017195845629655307,0.9472361809045227,0.00343293707344391,0.7735699264674749
SMOTE Logistic Regression Sample,0.35,0.003360872253133255,0.7512562814070352,0.006691807571366225,0.31390696230223136
SMOTE Logistic Regression Sample,0.4,0.004293922927987009,0.6909547738693468,0.008534806492660066,0.22597490579086277
SMOTE Logistic Regression Sample,0.45,0.0049646744319266755,0.6532663316582915,0.009854457246816252,0.18478398938647622
SMOTE Logistic Regression Sample,0.5,0.005496210274367271,0.6231155778894473,0.010896309314586995,0.15920991348284477
SMOTE Logistic Regression Sample,0.55,0.006394884092725819,0.5226130653266332,0.012635159761875835,0.11476578267680973
SMOTE Logistic Regression Sample,0.6,0.009255631733594515,0.4748743718592965,0.01815736381977135,0.07205058360267032
SMOTE Logistic Regression Sample,0.65,0.010876871371830125,0.4472361809045226,0.021237248702499552,0.05774279141320763
SMOTE Logistic Regression Sample,0.7,0.013174704567230917,0.41457286432160806,0.02553784243925089,0.04419008369440955
SMOTE Logistic Regression Sample,0.75,0.01668862538427756,0.38190954773869346,0.03197980223017042,0.03213695962062298
SMOTE Logistic Regression Sample,0.8,0.021574973031283712,0.35175879396984927,0.04065630898794831,0.022895995935246213
SMOTE Logistic Regression Sample,0.85,0.027254597828495458,0.30904522613065327,0.0500916310323763,0.015923814093969205
SMOTE Logistic Regression Sample,0.9,0.034482758620689655,0.2814070351758794,0.061437191442676904,0.01146034747999379
SMOTE Logistic Regression Sample,0.95,0.04523934771173067,0.21608040201005024,0.07481513701609395,0.006707549433333804
SMOTE Logistic Regression Sample,0.97,0.048615800135043886,0.18090452261306533,0.07663650878126663,0.005225607948851848
SMOTE Logistic Regression Sample,0.98,0.05551086082059534,0.17336683417085427,0.08409506398537477,0.004385841107645407
SMOTE Logistic Regression Sample,0.99,0.06294416243654823,0.15577889447236182,0.08966015907447578,0.0034755056243207768
Probability Average Ensemble,0.05,0.0014288124701582823,1.0,0.0028535477556990295,0.9828553483973861
Probability Average Ensemble,0.1,0.0015258834318718415,0.9824120603015075,0.0030470342070502603,0.9041430849787588
Probability Average Ensemble,0.15,0.0018360414945377765,0.9045226130653267,0.0036646443259090353,0.6918337967340833
Probability Average Ensemble,0.2,0.0026886223532564995,0.8065326633165829,0.005359378913097922,0.42126656598873724
Probability Average Ensemble,0.25,0.0037160493827160493,0.7562814070351759,0.007395759109560431,0.28580300057866287
Probability Average Ensemble,0.3,0.00440026591535028,0.6984924623115578,0.008745438530262993,0.22291928358714522
Probability Average Ensemble,0.35,0.005417607223476298,0.6331658291457286,0.010743290772280605,0.16412501940637658
Probability Average Ensemble,0.4,0.006763921928290963,0.592964824120603,0.013375272747881776,0.12311052460728551
Probability Average Ensemble,0.45,0.007895760404511863,0.5100502512562815,0.015550789030182319,0.09071598944293113
Probability Average Ensemble,0.5,0.009194921895407764,0.44221105527638194,0.01801525154818568,0.06753771893921218
Probability Average Ensemble,0.55,0.011351543100390209,0.4020100502512563,0.02207962464638101,0.04973325053279325
Probability Average Ensemble,0.6,0.01412180052956752,0.36180904522613067,0.027182633317602643,0.03597942218395834
Probability Average Ensemble,0.65,0.018823872756457027,0.3241206030150754,0.03558129913115432,0.024180345221797243
Probability Average Ensemble,0.7,0.024140286950580733,0.2663316582914573,0.04426811442889956,0.015493345377048254
Probability Average Ensemble,0.75,0.03645200486026731,0.22613065326633167,0.06278339727938612,0.008711698869490353
Probability Average Ensemble,0.8,0.060629316960859554,0.1984924623115578,0.09288653733098177,0.004597547033999972
Probability Average Ensemble,0.85,0.09481481481481481,0.16080402010050251,0.11929170549860205,0.002381691671488857
Probability Average Ensemble,0.9,0.1414141414141414,0.1407035175879397,0.14105793450881612,0.0013972591139401296
Probability Average Ensemble,0.95,0.18614718614718614,0.10804020100502512,0.13672496025437203,0.0008150678164650756
